name,role,base_ovr,batting_ovr,bowling_ovr,is_overseas,age,batting_hand,bowling_hand,batting_archetype,bowling_phase,bowling_type,strengths,weaknesses
Raj Bawa,All-Rounder,73,70,72,False,23,Left,Right,Lower-order Hitter,Flexible,Right-arm Medium,Promising young Punjab Kings all-rounder with genuine two-way value and developing franchise credentials,Very limited IPL sample and both departments need significant development at the top level
Rajvardhan Hangargekar,All-Rounder,73,48,73,False,23,Right,Right,Lower-order Hitter,Death Overs,Right-arm Fast,Young bowling all-rounder with raw pace who contributes useful lower-order batting and death-over bowling,Young and inconsistent with limited IPL sample across both departments
Nishant Sindhu,Bowler (Spin),73,48,70,False,25,Left,Left,Middle-over Rotator,Middle Overs,Left-arm Orthodox,Left-arm orthodox spinner who bats effectively in the middle order for GT and contributes in both departments,Not yet a reliable frontline spinner and batting role is position-dependent in the lineup
Shreyas Gopal,Bowler (Spin),73,42,72,False,32,Right,Right,Defensive Tailender,Middle Overs,Leg-spin,Karnataka leg-spinner with good domestic and IPL middle-over record including some strong wicket-taking spells,Economy can suffer against set batters and batting is lower-order with limited impact
Yudhvir Singh,Bowler (Fast),73,38,70,False,28,Right,Right,Defensive Tailender,Flexible,Right-arm Fast,Right-arm pacer who has contributed with bat in the lower order as well as bowling across IPL phases,Not exceptional in either department and needs more consistent franchise performance
Shahbaz Nadeem,Bowler (Spin),73,15,73,False,36,Right,Left,Defensive Tailender,Middle Overs,Left-arm Orthodox,Experienced left-arm spinner with long IPL career and solid domestic economy who can stifle scoring,At 36 has declined from peak levels and batters are now very familiar with his variations
Siddharth Kaul,Bowler (Fast),73,14,73,False,36,Right,Right,Defensive Tailender,Flexible,Right-arm Fast,Experienced Punjab pacer who has bowled consistently for multiple franchises with good economy history,At 36 declining pace and the IPL career is at its final stages with reducing impact
Murugan Ashwin,Bowler (Spin),73,14,73,False,35,Right,Right,Defensive Tailender,Middle Overs,Leg-spin,Tamil Nadu leg-spinner with many IPL seasons and reliable middle-over control and wicket variation,Batters have studied him heavily over the years reducing his surprise factor
Sushant Mishra,Bowler (Fast),73,13,73,False,25,Left,Left,Defensive Tailender,Flexible,Left-arm Fast,Left-arm pacer with consistent domestic quality and some IPL appearances showing basic franchise potential,Not yet established at the elite franchise level and needs more sustained opportunities
Naman Tiwari,Bowler (Fast),73,12,73,False,21,Left,Left,Defensive Tailender,Flexible,Left-arm Fast,Young left-arm pacer with developing franchise credentials and some domestic quality showing,Very young and limited experience at the elite T20 franchise level
KM Asif,Bowler (Fast),73,12,73,False,32,Right,Right,Defensive Tailender,Death Overs,Right-arm Fast,Tamil Nadu right-arm pacer who contributes in death-over phases with consistent economy across IPL seasons,Not a premium wicket-taker and economy at the death can be expensive under pressure
Chetan Sakariya,Bowler (Fast),73,12,73,False,28,Left,Left,Defensive Tailender,New Ball,Left-arm Fast,Left-arm seamer with genuine pace who made his IPL debut with strong powerplay results across seasons,Economy needs tightening and sustained first-team availability has been inconsistent
Ashok Sharma,Bowler (Fast),73,11,73,False,23,Right,Right,Defensive Tailender,Flexible,Right-arm Fast,Young right-arm pacer who appeared for GT in 2026 and has developing domestic credentials in the pace group,Very young with limited IPL experience and needs many more seasons of sustained quality
Yash Dhull,Batsman,72,72,12,False,23,Right,Right,Anchor,Part-time,Right-arm Offbreak,Promising young Delhi right-hand batter who has strong domestic credentials but limited IPL opportunity,Yet to establish a consistent franchise role and power game for T20 batting needs further development
Sediqullah Atal,Batsman,72,72,12,True,24,Left,Right,Aggressive Opener,Part-time,Right-arm Offbreak,Afghan left-hand opener with aggressive T20 white-ball credentials and some franchise exposure,Limited IPL sample and franchise consistency needs confirmation across multiple campaigns
Ravi Singh,Batsman,72,72,10,False,22,Right,None,Middle-over Rotator,Part-time,None,Young right-hand batter with developing domestic credentials and limited franchise T20 experience,Very young and small senior sample means elite T20 quality is not yet established
Himmat Singh,Batsman,72,72,10,False,29,Right,None,Middle-over Rotator,Part-time,None,Right-hand batter who contributed for LSG in 2026 and has consistent domestic record across the India circuit,Not yet established as a reliable IPL first-team performer and power game needs development
Manan Vohra,Batsman,72,72,8,False,32,Right,None,Aggressive Opener,Part-time,None,Experienced Punjab Kings opener whose aggressive T20 game delivered some strong early career IPL seasons,Form has declined from peak and rarely a regular first-choice in modern IPL lineups
Sanvir Singh,All-Rounder,72,70,68,False,29,Right,Right,Lower-order Hitter,Flexible,Right-arm Medium,Right-hand all-rounder with domestic credentials who has contributed in limited IPL opportunities,Not established at the elite franchise level and both departments need further sustained development
Mayank Dagar,All-Rounder,72,50,72,False,29,Right,Left,Defensive Tailender,Middle Overs,Left-arm Orthodox,Left-arm spin-bowling all-rounder whose bowling is the primary value with some useful batting contribution,Batting is lower-order cameo and the left-arm spin needs more wicket-taking in pressure matches
Dhawan Rishi,Bowler (Fast),72,44,68,False,36,Right,Right,Defensive Tailender,Flexible,Right-arm Fast,Experienced domestic pace bowler with some IPL appearances and useful lower-order batting contribution,At 36 declining and both departments are well below the elite franchise level now
Arjun Tendulkar,Bowler (Fast),72,35,72,False,26,Left,Left,Lower-order Hitter,New Ball,Left-arm Fast,Left-arm pacer who has developed over multiple IPL seasons and contributes some lower-order batting,Son of Sachin Tendulkar who has developed through the system but needs more consistent first-team output
Zeeshan Ansari,Bowler (Spin),72,16,72,False,25,Right,Left,Defensive Tailender,Middle Overs,Left-arm Orthodox,Left-arm spinner with some domestic and IPL experience across seasons but not yet elite franchise quality,Limited IPL sample and needs more sustained opportunities to confirm T20 franchise status
Akash Singh,Bowler (Fast),72,14,72,False,23,Left,Left,Defensive Tailender,New Ball,Left-arm Fast,Young left-arm pacer who took wickets in 2026 IPL including a strong spell against quality batters,Very young and limited sample size means sustained elite T20 quality is not yet confirmed
Varun Aaron,Bowler (Fast),72,11,72,False,36,Right,Right,Defensive Tailender,Flexible,Right-arm Fast,Once India's fastest bowler who generated extreme pace for multiple IPL franchises across his career,At 36 and at the very end of his career with declining pace and T20 impact
Harnoor Singh,Batsman,71,71,10,False,23,Left,None,Aggressive Opener,Part-time,None,Young left-hand opener with some domestic T20 and IPL credentials and developing franchise potential,Very young and limited IPL experience means elite franchise quality not confirmed
Aman Khan,All-Rounder,71,68,70,False,29,Right,Right,Lower-order Hitter,Flexible,Right-arm Medium,Domestic all-rounder who contributes in both departments and has some IPL appearances across franchises,Not at the elite franchise level in either department and needs more sustained performance
Ajay Mandal,Bowler (Spin),71,42,66,False,30,Left,Left,Defensive Tailender,Middle Overs,Left-arm Orthodox,Left-arm spinner with domestic quality who has shown reasonable economy in limited IPL appearances,Small franchise sample and both batting and bowling need more consistent elite-level output
Madhav Tiwari,Bowler (Fast),71,22,67,False,23,Right,Right,Defensive Tailender,Flexible,Right-arm Fast,Young Delhi pacer who appeared for DC in 2026 and has developing domestic credentials across the circuit,Very young and needs extended senior franchise experience before elite status can be confirmed
Kartik Tyagi,Bowler (Fast),71,11,71,False,25,Right,Right,Defensive Tailender,Flexible,Right-arm Fast,Right-arm pacer who took 18 wickets for KKR in 2026 as a regular part of their pace attack,Economy has been expensive and the high wicket count comes with high runs conceded as well
Sahil Parakh,Batsman,70,70,10,False,21,Right,None,Middle-over Rotator,Part-time,None,Young DC batter who contributed 46 runs in 4 innings in 2026 with some promising domestic credentials,Very young and very limited IPL sample means elite franchise quality is not established
Robin Uthappa,Batsman,70,70,10,False,41,Right,None,Aggressive Opener,Part-time,None,Former IPL great and 2014 Orange Cap winner who was one of the best T20 openers of his era,At 41 and effectively retired from professional cricket with career well past its peak
Ravichandran Smaran,Batsman,70,70,10,False,22,Left,None,Middle-over Rotator,Part-time,None,Young left-hand batter from SRH who has appeared in 2026 and has developing domestic credentials,Very young and limited franchise experience means top T20 quality not confirmed
Pyla Avinash,Batsman,70,70,10,False,23,Right,None,Middle-over Rotator,Part-time,None,Domestic right-hand batter with limited T20 franchise experience and developing credentials,Limited senior sample means franchise quality not yet established at any level
Danish Malewar,Batsman,70,70,10,False,22,Right,None,Middle-over Rotator,Part-time,None,Young MI right-hand batter who has appeared in 2026 with a developing domestic and franchise career,Very young and small sample means franchise T20 quality is not confirmed
Aman Rao,Batsman,70,70,10,False,21,Right,None,Middle-over Rotator,Part-time,None,Young right-hand batter with domestic credentials and developing T20 franchise potential,Very young and needs sustained franchise opportunities across multiple seasons
Swastik Chikara,Batsman,70,70,8,False,21,Right,None,Aggressive Opener,Part-time,None,Young right-hand opener with some domestic T20 credentials and developing franchise potential,Very young and very limited senior IPL sample size means quality not confirmed
Sarthak Ranjan,Batsman,70,64,25,False,29,Right,Right,Anchor,Part-time,None,Domestic right-hand batter with some IPL squad experience and consistent domestic quality,Not established at the elite franchise T20 level and needs more opportunities
Manisankar Murasingh,All-Rounder,70,62,70,False,33,Right,Right,Lower-order Hitter,Flexible,Right-arm Medium,Experienced domestic all-rounder who contributes in limited franchise roles with both bat and ball,Not at the elite IPL franchise level in either department at this stage of career
Mayank Rawat,Batsman,70,62,40,False,24,Right,Right,Anchor,Part-time,None,Young right-hand middle-order batter with some domestic and IPL squad experience,Limited senior franchise sample and both departments need more development
Ramakrishna Ghosh,Batsman,70,58,25,False,23,Right,Right,Anchor,Part-time,None,Young right-hand batter with developing domestic credentials and some CSK 2026 franchise exposure,Very young and limited IPL sample means elite T20 quality is not yet established
Vihaan Malhotra,Batsman,70,58,22,False,22,Right,Right,Anchor,Part-time,None,Young right-hand batter with domestic credentials and minimal IPL exposure across franchises,Very young and needs extended senior experience to confirm franchise quality
Tanay Thyagarajan,All-Rounder,70,56,70,False,30,Left,Left,Defensive Tailender,Middle Overs,Left-arm Orthodox,Left-arm spin-bowling all-rounder with domestic quality and some limited franchise T20 appearances,Not at the elite IPL franchise level and both departments need significantly more development
Shivang Kumar,Batsman,70,56,36,False,23,Right,Right,Anchor,Part-time,None,Young SRH batter who appeared across 2025-26 with limited but developing franchise output,Young with small sample and the quality needed for consistent franchise cricket needs confirming
Tripurana Vijay,Batsman,70,55,35,False,23,Right,Right,Anchor,Part-time,None,Young right-hand middle-order batter with developing domestic and limited franchise credentials,Very young and limited sample means franchise quality not established
Satvik Deswal,Batsman,70,55,32,False,23,Right,Right,Anchor,Part-time,None,Domestic right-hand batter with some developing credentials and limited franchise exposure,Not yet established at any meaningful franchise level and needs extended development time
Krains Fuletra,Batsman,70,54,35,False,23,Right,Right,Anchor,Part-time,None,Right-hand middle-order batter with limited franchise experience and developing domestic credentials,Very limited franchise sample and needs sustained senior opportunities to confirm quality
Daksh Kamra,Batsman,70,52,35,False,22,Right,Right,Anchor,Part-time,None,Young right-hand batter with some domestic credentials and developing franchise potential,Very young and very limited IPL sample means quality not confirmed at this level
Atharva Ankolekar,Bowler (Spin),70,38,66,False,25,Right,Left,Defensive Tailender,Middle Overs,Left-arm Orthodox,Left-arm orthodox spinner with domestic quality who has appeared in limited franchise roles,Not yet established at the elite IPL level and economy needs tightening against top batters
Vicky Ostwal,Bowler (Spin),70,25,69,False,23,Left,Left,Defensive Tailender,Middle Overs,Left-arm Orthodox,Young left-arm spinner with strong domestic Gujarat credentials and developing IPL franchise potential,Very young and limited franchise experience means sustained elite quality not confirmed
Kamlesh Nagarkoti,Bowler (Fast),70,24,70,False,26,Right,Right,Defensive Tailender,Flexible,Right-arm Fast,Once a highly touted right-arm pacer from KKR who has had an injury-interrupted franchise career,Injuries have severely limited his development and sustained top-level consistency is not established
Praveen Dubey,Bowler (Spin),70,18,70,False,33,Right,Right,Defensive Tailender,Middle Overs,Leg-spin,Leg-spinner with domestic credentials and limited franchise appearances across IPL squads,Not at the elite franchise level and batters pick his variations at the highest T20 standard
Yash Raj Punja,Bowler (Fast),70,14,70,False,22,Right,Right,Defensive Tailender,Flexible,Right-arm Fast,Young right-arm pacer who took 9 wickets for RR in 2026 and has strong domestic Rajasthan credentials,Very young with limited sample and economy needs significant improvement at the elite franchise level
Vignesh Puthur,Bowler (Fast),70,12,70,False,23,Right,Right,Defensive Tailender,Flexible,Right-arm Fast,Young right-arm pacer with domestic credentials and limited franchise T20 experience,Very young and needs sustained franchise opportunities to develop at the elite level
Brijesh Sharma,Bowler (Fast),70,12,70,False,23,Right,Right,Defensive Tailender,Flexible,Right-arm Fast,Young right-arm pacer for RR who took 14 wickets in 2026 season showing developing franchise potential,Small sample with one strong season and economy needs to be confirmed across multiple campaigns
Ashwani Kumar,Bowler (Fast),70,12,70,False,24,Left,Left,Defensive Tailender,New Ball,Left-arm Fast,Left-arm pacer who took 11 wickets in 2026 IPL with a strong powerplay spell showing quality at MI,Young with limited sample and sustainability of this high-wicket economy rate needs confirming
Amit Kumar,Bowler (Spin),70,12,70,False,23,Right,Right,Defensive Tailender,Middle Overs,Leg-spin,Young leg-spinner with developing domestic credentials and limited franchise T20 appearances,Very young and very limited franchise experience means quality not established
Vishal Nishad,Bowler (Spin),70,11,70,False,23,Left,Left,Defensive Tailender,Middle Overs,Left-arm Orthodox,Young left-arm orthodox spinner with developing domestic and franchise credentials,Very young and limited sample means franchise-level quality not confirmed
Sakib Hussain,Bowler (Fast),70,11,70,False,23,Right,Right,Defensive Tailender,Flexible,Right-arm Fast,Young SRH right-arm pacer who took 15 wickets in 2026 season showing strong breakout franchise potential,Small sample with one strong season and economy can be expensive meaning improvement needed
Prithvi Raj,Bowler (Fast),70,11,70,False,28,Left,Left,Defensive Tailender,Flexible,Left-arm Fast,Left-arm pacer with domestic credentials and limited franchise appearances across the IPL circuit,Not yet established at the elite franchise level and economy needs improvement at this standard
Prashant Solanki,Bowler (Spin),70,11,70,False,26,Right,Right,Defensive Tailender,Middle Overs,Leg-spin,Right-arm leg-spinner with domestic credentials and some franchise T20 experience,Not yet a reliable frontline spinner at the elite level and needs more consistent IPL impact
Onkar Tarmale,Bowler (Fast),70,11,70,False,23,Right,Right,Defensive Tailender,Flexible,Right-arm Fast,Young right-arm pacer with developing domestic and limited franchise credentials,Very young and limited franchise experience means quality not confirmed
Mohd Izhar,Bowler (Fast),70,11,70,False,22,Right,Right,Defensive Tailender,Flexible,Right-arm Fast,Very young right-arm pacer with minimal franchise experience and developing domestic credentials,Very young and almost no IPL sample means franchise quality entirely unknown
Raj Limbani,Bowler (Fast),69,18,69,False,21,Right,Right,Defensive Tailender,New Ball,Right-arm Fast,Young Saurashtra right-arm pacer with promising domestic credentials and developing franchise potential,Very young and limited sample means franchise-level quality is not established
Aarya Desai,Batsman,68,68,10,False,23,Left,None,Anchor,Part-time,None,Young left-hand batter with domestic credentials and very limited franchise T20 experience,Very limited sample and not yet contributing meaningfully at the elite franchise level
Tushar Raheja,Wicketkeeper,68,68,8,False,25,Left,None,Aggressive Opener,Part-time,None,Left-hand keeper-batter with domestic quality and very limited franchise appearances,Small senior sample and needs extended franchise opportunities to confirm quality
Akshat Raghuwanshi,Batsman,68,68,8,False,22,Right,None,Middle-over Rotator,Part-time,None,Young right-hand batter with some LSG 2026 exposure and developing domestic credentials,Very young and very limited franchise sample means T20 quality not established
Utkarsh Singh,All-Rounder,68,66,64,False,27,Left,Right,Middle-over Rotator,Middle Overs,Right-arm Offbreak,Left-hand batter and right-arm off-spinner who contributes in both departments with domestic quality,Not yet established at the elite IPL franchise level and needs more consistent performance
Karan Lal,All-Rounder,68,66,62,False,25,Right,Right,Middle-over Rotator,Flexible,Right-arm Offbreak,Young right-hand all-rounder with developing domestic credentials and some franchise T20 experience,Very young and both departments need significant development at the elite franchise level
Chama Milind,All-Rounder,68,42,68,False,31,Left,Left,Defensive Tailender,New Ball,Left-arm Fast,Left-arm seamer with some franchise exposure and reasonable domestic quality across the circuit,Not at the elite IPL franchise level and economy has been expensive in limited franchise appearances
Abhinandan Singh,Bowler (Fast),68,14,68,False,27,Right,Right,Defensive Tailender,Flexible,Right-arm Fast,Right-arm pacer who appeared for RCB in 2026 and has consistent domestic pace credentials,Limited franchise sample and economy needs significant improvement for elite T20 franchise selection
KC Cariappa,Bowler (Spin),68,12,68,False,32,Right,Right,Defensive Tailender,Middle Overs,Mystery Spin,Mystery spinner who contributed for multiple franchises with unusual action and deceptive deliveries,Batters have become more familiar with his action reducing the surprise element significantly
Vansh Bedi,Wicketkeeper,67,67,8,False,23,Right,None,Aggressive Opener,Part-time,None,Young right-hand keeper-batter with limited franchise experience and developing domestic credentials,Very young and very limited sample means franchise quality is not established
Salman Nizar,Batsman,67,67,8,False,28,Left,None,Middle-over Rotator,Part-time,None,Left-hand middle-order batter with domestic credentials and very limited franchise appearances,Not yet established at the elite IPL franchise level with a very small senior sample
Mohit Rathee,Bowler (Spin),67,18,67,False,26,Right,Right,Defensive Tailender,Middle Overs,Leg-spin,Young leg-spinner with domestic credentials and limited franchise appearances,Not yet established at the elite franchise level and economy needs improvement
Raghu Sharma,Bowler (Spin),67,12,67,False,31,Right,Left,Defensive Tailender,Middle Overs,Left-arm Orthodox,Left-arm orthodox spinner who appeared for MI in 2026 with limited franchise impact and domestic quality,Not at the elite franchise level and economy needs significant improvement against top batters
Shivam Shukla,Bowler (Spin),66,12,66,False,24,Right,Right,Defensive Tailender,Middle Overs,Leg-spin,Young right-arm leg-spinner with domestic credentials and minimal franchise T20 appearances,Very young and very limited franchise experience means quality not confirmed at this level
Connor Esterhuizen,Wicketkeeper,65,65,8,True,24,Right,None,Aggressive Opener,Part-time,None,Young South African keeper-opener with developing international credentials and franchise potential,Very limited IPL sample and needs sustained franchise opportunities to confirm quality
Tejas Baroka,Bowler (Spin),65,12,65,False,30,Right,Right,Defensive Tailender,Middle Overs,Leg-spin,Leg-spinner with domestic quality and occasional franchise appearances across the IPL circuit,Not at the elite franchise level consistently and economy can be expensive against top batters
Ruchit Ahir,Batsman,64,64,8,False,23,Right,None,Middle-over Rotator,Part-time,None,Young right-hand batter with domestic credentials and developing franchise potential,Very young and very limited franchise experience means quality not established
Abhinav Tejrana,Batsman,64,64,8,False,22,Right,None,Middle-over Rotator,Part-time,None,Young right-hand batter with developing domestic credentials and minimal franchise T20 experience,Very young and very limited sample means franchise-level quality not confirmed
Siddarth Yadav,All-Rounder,64,63,58,False,24,Left,Right,Middle-over Rotator,Part-time,Right-arm Offbreak,Young left-hand batting all-rounder with off-spin variety and developing domestic credentials,Very young and limited franchise experience means elite T20 quality not established
Macneil Noronha,All-Rounder,64,62,62,False,25,Right,Right,Middle-over Rotator,Flexible,Right-arm Medium,Right-hand all-rounder with domestic credentials and developing franchise potential across both departments,Not yet established at the elite IPL franchise level in either batting or bowling
Kanishk Chouhan,All-Rounder,64,62,62,False,23,Right,Right,Lower-order Hitter,Flexible,Right-arm Medium,Young right-hand all-rounder with domestic credentials and developing T20 franchise potential,Very young with very limited franchise experience and elite T20 quality not confirmed
Wahidullah Zadran,Bowler (Fast),64,14,64,True,23,Right,Right,Defensive Tailender,Flexible,Right-arm Fast,Young Afghan pace bowler with some franchise experience and developing international credentials,Very young and limited franchise sample means elite T20 quality is not yet established
Money Grewal,Bowler (Fast),64,12,64,False,23,Right,Right,Defensive Tailender,Flexible,Right-arm Fast,Young right-arm pacer with domestic credentials and minimal franchise T20 experience,Very young and very limited senior sample means franchise quality not confirmed
Dheeraj Kumar,Batsman,63,63,8,False,23,Right,None,Middle-over Rotator,Part-time,None,Young right-hand middle-order batter with developing domestic credentials and limited franchise exposure,Very young and minimal franchise sample means quality not established
Daniel Lategan,Batsman,63,63,8,True,23,Right,None,Middle-over Rotator,Part-time,None,Young South African right-hand batter with domestic credentials and limited franchise exposure,Very young and minimal senior sample means franchise-level quality not confirmed
Ayush Vartak,All-Rounder,63,62,58,False,22,Right,Right,Middle-over Rotator,Flexible,Right-arm Medium,Young right-hand all-rounder with domestic credentials and developing franchise potential,Very young with very limited franchise experience and elite quality not yet confirmed
RS Ambrish,All-Rounder,63,60,62,False,24,Right,Right,Lower-order Hitter,Flexible,Right-arm Medium,Right-hand all-rounder with domestic quality and limited franchise T20 experience,Not yet established at the elite IPL level and both departments need more development
Eden Apple Tom,All-Rounder,63,58,63,False,23,Right,Right,Lower-order Hitter,Flexible,Right-arm Medium,Young right-hand all-rounder with domestic credentials and developing franchise T20 potential,Very young and very limited franchise experience means quality not confirmed
Chintal Gandhi,Bowler (Spin),63,14,63,False,26,Right,Right,Defensive Tailender,Middle Overs,Right-arm Offbreak,Right-arm off-spinner with domestic credentials and very limited franchise T20 appearances,Not yet established at the elite franchise level and needs sustained development
Irfan Umair,Bowler (Fast),63,12,63,False,24,Right,Right,Defensive Tailender,Flexible,Right-arm Fast,Young right-arm pacer with developing domestic credentials and minimal franchise experience,Very young and very limited senior sample means elite T20 quality not confirmed
Ritik Tada,All-Rounder,62,60,60,False,23,Right,Right,Lower-order Hitter,Flexible,Right-arm Medium,Young right-hand all-rounder with developing domestic and minimal franchise credentials,Very young with very limited senior experience meaning franchise quality not established
Jikku Bright,Bowler (Fast),62,12,62,False,24,Right,Right,Defensive Tailender,Flexible,Right-arm Fast,Right-arm pacer with developing domestic credentials and minimal franchise T20 experience,Very limited senior sample and needs sustained opportunities at the elite franchise level
Izaz Sawariya,Bowler (Fast),62,12,62,False,24,Left,Left,Defensive Tailender,New Ball,Left-arm Fast,Left-arm pacer with some domestic credentials and very limited franchise T20 experience,Very limited senior sample and franchise quality not confirmed at this level
